title,platform,date,user_score,link,developers,genres
Dragon Quest Monsters: Joker 2,DS,19-Sep-11,7.5,/game/ds/dragon-quest-monsters-joker-2,['TOSE'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style', 'Trainer']"
Star Fox 64 3D,3DS,9-Sep-11,8.1,/game/3ds/star-fox-64-3d,['Nintendo'],"['Action', 'Shooter', 'Shooter', 'Rail', 'Rail']"
Inazuma Eleven,DS,26-Aug-11,7.9,/game/ds/inazuma-eleven,['Level 5'],"['Sports', 'Traditional', 'Soccer', 'Arcade']"
3D Classics: Urban Champion,3DS,18-Aug-11,5.7,/game/3ds/3d-classics-urban-champion,['Arika'],"['Action', 'Fighting', 'Fighting', '2D', '2D']"
3D Classics: Xevious,3DS,21-Jul-11,5.8,/game/3ds/3d-classics-xevious,['Arika'],"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']"
Nintendo Video,3DS,21-Jul-11,5.9,/game/3ds/nintendo-video,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Mystery Case Files: The Malgrave Incident,WII,29-Jun-11,8,/game/wii/mystery-case-files-the-malgrave-incident,['Sanzaru Games'],"['Miscellaneous', 'Puzzle', 'Hidden Object', 'Puzzle', 'General']"
The Legend of Zelda: Ocarina of Time 3D,3DS,19-Jun-11,9,/game/3ds/the-legend-of-zelda-ocarina-of-time-3d,['GREZZO'],"['Miscellaneous', 'Action Adventure', 'Fantasy', 'Fantasy', 'Compilation', 'Open-World']"
Wii Play: Motion,WII,13-Jun-11,6.6,/game/wii/wii-play-motion,"['Nintendo', ' Good-Feel']","['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Pokedex 3D,3DS,6-Jun-11,6.6,/game/3ds/pokedex-3d,['Creatures Inc.'],"['Miscellaneous', 'General', 'General', 'Application']"
3D Classics: Excitebike,3DS,6-Jun-11,6.6,/game/3ds/3d-classics-excitebike,['Arika'],"['Driving', 'Racing', 'Arcade', 'Motorcycle', 'Other', 'Automobile', 'Motocross', 'Motocross']"
Nintendogs + Cats: Golden Retriever & New Friends,3DS,27-Mar-11,7.2,/game/3ds/nintendogs-+-cats-golden-retriever-new-friends,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
Pilotwings Resort,3DS,27-Mar-11,7.2,/game/3ds/pilotwings-resort,['Monster Games Inc.'],"['Simulation', 'Flight', 'Civilian Plane', 'Civilian Plane', 'Civilian']"
Steel Diver,3DS,27-Mar-11,6.3,/game/3ds/steel-diver,"['Nintendo', ' Vitei']","['Action', 'Simulation', 'General', 'Submarine', 'Submarine', 'Marine', 'Combat']"
Nintendogs + Cats: Toy Poodle & New Friends,3DS,27-Mar-11,7.1,/game/3ds/nintendogs-+-cats-toy-poodle-new-friends,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
Nintendogs + Cats: French Bulldog & New Friends,3DS,27-Mar-11,7.1,/game/3ds/nintendogs-+-cats-french-bulldog-new-friends,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
AR Games,3DS,27-Mar-11,7.1,/game/3ds/ar-games,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Face Raiders,3DS,27-Mar-11,7.1,/game/3ds/face-raiders,['HAL Labs'],"['Action', 'General', 'General', 'Shooter', 'Light Gun']"
StreetPass Mii Plaza,3DS,27-Mar-11,7.6,/game/3ds/streetpass-mii-plaza,['Nintendo'],"['Role-Playing', 'General', 'General']"
Nintendo 3DS,3DS,27-Mar-11,8,/game/3ds/nintendo-3ds,['Nintendo'],"['Hardware', 'Console']"
Mii Maker,3DS,27-Mar-11,6.1,/game/3ds/mii-maker,['Nintendo'],"['Miscellaneous', 'General', 'Application']"
